epoch,loss,mean_accuracy,mean_iou,step,val_loss,val_mean_accuracy,val_mean_iou
0,,,,12,0.35982194542884827,1.0,1.0
1,,,,25,0.14673274755477905,1.0,1.0
2,,,,38,0.06267692893743515,1.0,1.0
3,0.03863639011979103,1.0,1.0,49,,,
3,,,,51,0.031257688999176025,1.0,1.0
4,,,,64,0.019436068832874298,1.0,1.0
5,,,,77,0.013816190883517265,1.0,1.0
6,,,,90,0.010670450516045094,1.0,1.0
7,0.011356642469763756,1.0,1.0,99,,,
7,,,,103,0.008594496175646782,1.0,1.0
8,,,,116,0.0071249958127737045,1.0,1.0
9,,,,129,0.00601120013743639,1.0,1.0
10,,,,142,0.005106717348098755,1.0,1.0
11,0.005302157253026962,1.0,1.0,149,,,
11,,,,155,0.0043524750508368015,1.0,1.0
12,,,,168,0.0037262821570038795,1.0,1.0
13,,,,181,0.003230439033359289,1.0,1.0
14,,,,194,0.002835798542946577,1.0,1.0
15,0.002970026805996895,1.0,1.0,199,,,
15,,,,207,0.0025197153445333242,1.0,1.0
16,,,,220,0.002259818371385336,1.0,1.0
17,,,,233,0.0020425887778401375,1.0,1.0
18,,,,246,0.0018583424389362335,1.0,1.0
19,0.0019000371685251594,1.0,1.0,249,,,
19,,,,259,0.00170110072940588,1.0,1.0
20,,,,272,0.0015640705823898315,1.0,1.0
21,,,,285,0.0014441420789808035,1.0,1.0
22,,,,298,0.0013381633907556534,1.0,1.0
23,0.0013588513247668743,1.0,1.0,299,,,
23,,,,311,0.0012445049360394478,1.0,1.0
24,,,,324,0.001160282059572637,1.0,1.0
25,,,,337,0.001085173338651657,1.0,1.0
26,0.0010382670443505049,1.0,1.0,349,,,
26,,,,350,0.0010171205503866076,1.0,1.0
27,,,,363,0.0009553608251735568,1.0,1.0
28,,,,376,0.0008991286740638316,1.0,1.0
29,,,,389,0.0008483998826704919,1.0,1.0
30,0.0008607228519394994,1.0,1.0,399,,,
30,,,,402,0.0008016268839128315,1.0,1.0
31,,,,415,0.000758581212721765,1.0,1.0
32,,,,428,0.000719189178198576,1.0,1.0
33,,,,441,0.0006828249897807837,1.0,1.0
34,0.0006968319648876786,1.0,1.0,449,,,
34,,,,454,0.0006489068036898971,1.0,1.0
35,,,,467,0.0006175193702802062,1.0,1.0
36,,,,480,0.0005885331775061786,1.0,1.0
37,,,,493,0.0005615684203803539,1.0,1.0
38,0.0005638321163132787,1.0,1.0,499,,,
38,,,,506,0.0005361683433875442,1.0,1.0
39,,,,519,0.0005125487223267555,1.0,1.0
40,,,,532,0.0004904941888526082,1.0,1.0
41,,,,545,0.00046973227290436625,1.0,1.0
42,0.0004620318068191409,1.0,1.0,549,,,
42,,,,558,0.0004503309610299766,1.0,1.0
43,,,,571,0.0004321944434195757,1.0,1.0
44,,,,584,0.00041494821198284626,1.0,1.0
45,,,,597,0.00039867969462648034,1.0,1.0
46,0.0003991548146586865,1.0,1.0,599,,,
46,,,,610,0.00038336848956532776,1.0,1.0
47,,,,623,0.000369011249858886,1.0,1.0
48,,,,636,0.000355298921931535,1.0,1.0
49,0.00034241023240610957,1.0,1.0,649,,,
49,,,,649,0.00034225976560264826,1.0,1.0
50,,,,662,0.00033006479497998953,1.0,1.0
51,,,,675,0.00031834401306696236,1.0,1.0
52,,,,688,0.00030717914341948926,1.0,1.0
53,0.0003016809932887554,1.0,1.0,699,,,
53,,,,701,0.00029684699256904423,1.0,1.0
54,,,,714,0.0002867423463612795,1.0,1.0
55,,,,727,0.0002772500738501549,1.0,1.0
56,,,,740,0.0002681702608242631,1.0,1.0
57,0.0002706701052375138,1.0,1.0,749,,,
57,,,,753,0.00025940913474187255,1.0,1.0
58,,,,766,0.0002511575585231185,1.0,1.0
59,,,,779,0.00024327117716893554,1.0,1.0
60,,,,792,0.00023569009499624372,1.0,1.0
61,0.00024149319506250322,1.0,1.0,799,,,
61,,,,805,0.00022844634077046067,1.0,1.0
62,,,,818,0.00022154822363518178,1.0,1.0
63,,,,831,0.00021495838882401586,1.0,1.0
64,,,,844,0.0002085918968077749,1.0,1.0
65,0.00021681790531147271,1.0,1.0,849,,,
65,,,,857,0.0002024695131694898,1.0,1.0
66,,,,870,0.00019661441911011934,1.0,1.0
67,,,,883,0.00019102604710496962,1.0,1.0
68,,,,896,0.0001856477465480566,1.0,1.0
69,0.000186748628038913,1.0,1.0,899,,,
69,,,,909,0.0001804933708626777,1.0,1.0
70,,,,922,0.0001754924887791276,1.0,1.0
71,,,,935,0.00017071246111299843,1.0,1.0
72,,,,948,0.00016608944861218333,1.0,1.0
73,0.00016881943156477064,1.0,1.0,949,,,
73,,,,961,0.0001616563822608441,1.0,1.0
74,,,,974,0.00015736796194687486,1.0,1.0
75,,,,987,0.00015324176638387144,1.0,1.0
76,0.00015649395936634392,1.0,1.0,999,,,
76,,,,1000,0.0001492910087108612,1.0,1.0
77,,,,1013,0.0001454369630664587,1.0,1.0
78,,,,1026,0.00014176324475556612,1.0,1.0
79,,,,1039,0.00013815026613883674,1.0,1.0
80,0.0001431482087355107,1.0,1.0,1049,,,
80,,,,1052,0.00013472323189489543,1.0,1.0
81,,,,1065,0.00013139110524207354,1.0,1.0
82,,,,1078,0.00012817149399779737,1.0,1.0
83,,,,1091,0.0001250157511094585,1.0,1.0
84,0.00012842475553043187,1.0,1.0,1099,,,
84,,,,1104,0.00012198992044432089,1.0,1.0
85,,,,1117,0.0001190576731460169,1.0,1.0
86,,,,1130,0.00011626975901890546,1.0,1.0
87,,,,1143,0.00011359243944752961,1.0,1.0
88,0.00011490365432109684,1.0,1.0,1149,,,
88,,,,1156,0.00011090560292359442,1.0,1.0
89,,,,1169,0.00010835319699253887,1.0,1.0
90,,,,1182,0.00010586000280454755,1.0,1.0
91,,,,1195,0.00010346945055061951,1.0,1.0
92,0.00010337759886169806,1.0,1.0,1199,,,
92,,,,1208,0.00010112050222232938,1.0,1.0
93,,,,1221,9.887200576486066e-05,1.0,1.0
94,,,,1234,9.664208482718095e-05,1.0,1.0
95,,,,1247,9.452756057726219e-05,1.0,1.0
96,9.742462862050161e-05,1.0,1.0,1249,,,
96,,,,1260,9.244897228199989e-05,1.0,1.0
97,,,,1273,9.041833982337266e-05,1.0,1.0
98,,,,1286,8.845870615914464e-05,1.0,1.0
99,8.747283573029563e-05,1.0,1.0,1299,,,
99,,,,1299,8.657598664285615e-05,1.0,1.0
